,WTI,NATGAS,GOLD,SILVER,CORN,WHEAT,COPPER,COFFEE
2005-03-31,0.09140787580215157,-0.10830966947161758,0.15760914373426732,0.1858451608137414,-0.24362068703718792,-0.1472514227322267,0.06513781964983967,-0.0008182207589678003
2005-04-30,0.08284237102225597,-0.16037271497094993,0.1702057104773429,0.09648710388085464,-0.16305622116552748,-0.1557988320173347,0.15046481461954658,-0.020772231846187972
2005-05-31,0.028093900446814746,-0.18632266712905793,0.19219758372467954,0.17881317368348065,-0.1286500211442899,-0.1850273117266523,0.05389064448859175,0.04700469765643338
2005-06-30,0.08746779596755457,-0.13268743649263376,0.18903315255441358,0.2049701973319003,-0.20528832744791004,-0.16186534725148163,0.018528854146131642,-0.00015888880797465028
2005-07-31,0.15976914900809036,-0.04996041667656111,0.16722827252506836,0.1730025784668413,-0.11584274005108866,-0.16473508994211786,-0.08174558504643314,-0.08771616828379927
2005-08-31,0.2102745318619257,-0.08126625963298065,0.14308179791370199,0.14664367022437225,-0.1893142169636587,-0.08191076609475523,-0.09278163504916828,-0.054727122259437135
2005-09-30,0.09762712157758816,-0.1699954708398231,0.21104837232397908,0.07601131339351838,-0.21619922813237608,0.07341812929847383,-0.11380530102780083,0.041895063406440676
2005-10-31,0.038685159355522386,-0.3273239560898805,0.23022087845410072,0.025046482288014402,-0.17267604391011956,0.08826579375944393,0.09182030114671759,0.025961384996201035
2005-11-30,0.04661115525290642,-0.38654131756710136,0.28776505306475425,-0.0748650450155291,0.005413196941711485,0.1602105947406278,-0.017082677084232938,-0.021510960333136517
2005-12-31,-0.03494006968490353,-0.3073512230104769,0.16828619836477135,-0.04286354528366362,0.1640088719182971,0.16770492971693157,-0.002225734606934815,-0.11261942741402113
2006-01-31,-0.17098664684741027,-0.160724740323007,0.202883921297135,0.19077282904868256,0.07600799607133008,-0.0376620268162746,0.03033525358285239,-0.1306265860133081
2006-02-28,-0.13706321573691196,-0.18050659714405082,0.20022800796824708,0.19099932332606495,0.1087726687056879,-0.0447646942445488,-0.0001447052880469312,-0.13752078758644148
2006-03-31,-0.18652792005485044,0.046463731174238146,0.13534169082884182,0.10412339643659822,0.21407118156032195,-0.11574727815300725,-0.022675772262237052,-0.17504902952990525
2006-04-30,-0.2113922775121787,0.18192981885546974,0.1985563545453139,-0.00308653587016776,0.1195138265992163,-0.13326348873668967,-0.09031427596714701,-0.061943421913816854
2006-05-31,-0.11349517089011177,0.15095979321022912,0.25524221319457885,0.09379799359519198,-0.027998327150479167,-0.09592131273352285,-0.17564496682935646,-0.08694022239652978
2006-06-30,-0.080859347237352,0.16747379943232735,0.14963677926105215,0.08090480903391131,0.10198461227270916,-0.16591320129244208,-0.23869713782568985,-0.014530313644516096
2006-07-31,0.013821898840730394,0.18622868563993528,0.1700246496521806,-0.012208533438028956,0.1299247658671537,-0.19207082263762476,-0.26503103199479366,-0.030689611929552697
2006-08-31,-0.0016430689600749394,0.21360623171930085,0.23026901571038152,0.0561247525703176,-0.010485065659553677,-0.28726135791236657,-0.1628674292955706,-0.03774307817243425
2006-09-30,0.04585370682419088,0.15342758698470602,0.12144762044008588,0.124992227265733,0.054278858485284215,-0.3193382629670733,-0.12729359964909945,-0.053368137383827244
2006-10-31,0.1092192148444249,0.07354930777430697,0.1257701287473034,0.08558798611118239,0.10587336252278225,-0.36428644533483734,-0.10375879621725657,-0.031954758447906094
